SampletextColumn;Seq_number
sampletext;0
sampletext;5
sampletext;10
sampletext;15
sampletext;20
sampletext;25
sampletext;30
sampletext;35
sampletext;40
sampletext;45
sampletext;50
sampletext;55
sampletext;60
sampletext;65
sampletext;70
sampletext;75
sampletext;80
sampletext;85
sampletext;90
sampletext;95
sampletext;100
sampletext;105
sampletext;110
sampletext;115
sampletext;120
sampletext;125
sampletext;130
sampletext;135
sampletext;140
sampletext;145
sampletext;150
sampletext;155
sampletext;160
sampletext;165
sampletext;170
sampletext;175
sampletext;180
sampletext;185
sampletext;190
sampletext;195
sampletext;200
sampletext;205
sampletext;210
sampletext;215
sampletext;220
sampletext;225
sampletext;230
sampletext;235
sampletext;240
sampletext;245
sampletext;250
sampletext;255
sampletext;260
sampletext;265
sampletext;270
sampletext;275
sampletext;280
sampletext;285
sampletext;290
sampletext;295
sampletext;300
sampletext;305
sampletext;310
sampletext;315
sampletext;320
sampletext;325
sampletext;330
sampletext;335
sampletext;340
sampletext;345
sampletext;350
sampletext;355
sampletext;360
sampletext;365
sampletext;370
sampletext;375
sampletext;380
sampletext;385
sampletext;390
sampletext;395
sampletext;400
sampletext;405
sampletext;410
sampletext;415
sampletext;420
sampletext;425
sampletext;430
sampletext;435
sampletext;440
sampletext;445
sampletext;450
sampletext;455
sampletext;460
sampletext;465
sampletext;470
sampletext;475
sampletext;480
sampletext;485
sampletext;490
sampletext;495
