SALES_ID;DATE;ITEMS_SOLD;SALES_AMT
4;07-09-2012;BIKE;100
7;08-09-2012;BIKE;177
8;09-09-2012;BIKE;180
9;10-09-2012;BIKE;167
12;13-09-2012;BIKE;42
15;15-09-2012;BIKE;166
16;16-09-2012;BIKE;177
17;17-09-2012;BIKE;180
20;19-09-2012;BIKE;100
23;19-09-2012;BIKE;100
24;19-09-2012;BIKE;144
25;19-09-2012;BIKE;166
28;07-09-2013;BIKE;100
31;08-09-2013;BIKE;177
32;09-09-2013;BIKE;180
33;10-09-2013;BIKE;167
36;13-09-2013;BIKE;42
39;16-09-2013;BIKE;166
40;17-09-2013;BIKE;177
41;18-09-2013;BIKE;180
44;19-09-2013;BIKE;100
47;19-09-2013;BIKE;100
48;19-09-2013;BIKE;144
49;19-09-2013;BIKE;166
