SALES_ID,DATE,ITEMS SOLD,SALES_AMT
25,07/09/2013,CAR,100
26,07/09/2013,BUS,144
27,07/09/2013,VAN,42
28,07/09/2013,BIKE,100
29,07/09/2013,BUS,144
30,07/09/2013,VAN,166
31,08/09/2013,BIKE,177
32,09/09/2013,BIKE,180
33,10/09/2013,BIKE,167
34,11/09/2013,VAN,100
35,12/09/2013,CAR,144
36,13/09/2013,BIKE,42
37,14/09/2013,BUS,100
38,15/09/2013,VAN,144
39,16/09/2013,BIKE,166
40,17/09/2013,BIKE,177
41,18/09/2013,BIKE,180
42,19/09/2013,VAN,167
43,19/09/2013,CAR,167
44,19/09/2013,BIKE,100
45,19/09/2013,BUS,144
46,19/09/2013,VAN,42
47,19/09/2013,BIKE,100
48,19/09/2013,BIKE,144
49,19/09/2013,BIKE,166
50,19/09/2013,VAN,177
51,19/09/2013,CAR,180
